field_location	field_name	data_type	units	field_description
metadata_and_annual	out.natural_gas.permanent_spa_heat.energy_consumption_intensity..kwh_per_ft2	float	kwh_per_ft2	
metadata_and_annual	out.natural_gas.permanent_spa_heat.energy_savings_intensity..kwh_per_ft2	float	kwh_per_ft2	
metadata_and_annual	out.natural_gas.pool_heater.energy_consumption_intensity..kwh_per_ft2	float	kwh_per_ft2	
metadata_and_annual	out.natural_gas.pool_heater.energy_savings_intensity..kwh_per_ft2	float	kwh_per_ft2	
metadata_and_annual	out.natural_gas.range_oven.energy_consumption_intensity..kwh_per_ft2	float	kwh_per_ft2	
metadata_and_annual	out.natural_gas.range_oven.energy_savings_intensity..kwh_per_ft2	float	kwh_per_ft2	
metadata_and_annual	out.natural_gas.total.energy_consumption_intensity..kwh_per_ft2	float	kwh_per_ft2	
metadata_and_annual	out.natural_gas.total.energy_savings_intensity..kwh_per_ft2	float	kwh_per_ft2	
metadata_and_annual	out.propane.clothes_dryer.energy_consumption_intensity..kwh_per_ft2	float	kwh_per_ft2	
metadata_and_annual	out.propane.clothes_dryer.energy_savings_intensity..kwh_per_ft2	float	kwh_per_ft2	
metadata_and_annual	out.propane.heating.energy_consumption_intensity..kwh_per_ft2	float	kwh_per_ft2	
metadata_and_annual	out.propane.heating.energy_savings_intensity..kwh_per_ft2	float	kwh_per_ft2	
metadata_and_annual	out.propane.hot_water.energy_consumption_intensity..kwh_per_ft2	float	kwh_per_ft2	
metadata_and_annual	out.propane.hot_water.energy_savings_intensity..kwh_per_ft2	float	kwh_per_ft2	
metadata_and_annual	out.propane.range_oven.energy_consumption_intensity..kwh_per_ft2	float	kwh_per_ft2	
metadata_and_annual	out.propane.range_oven.energy_savings_intensity..kwh_per_ft2	float	kwh_per_ft2	
metadata_and_annual	out.propane.total.energy_consumption_intensity..kwh_per_ft2	float	kwh_per_ft2	
metadata_and_annual	out.propane.total.energy_savings_intensity..kwh_per_ft2	float	kwh_per_ft2	
metadata_and_annual	out.site_energy.net.energy_consumption_intensity..kwh_per_ft2	float	kwh_per_ft2	
metadata_and_annual	out.site_energy.net.energy_savings_intensity..kwh_per_ft2	float	kwh_per_ft2	
metadata_and_annual	out.site_energy.total.energy_consumption_intensity..kwh_per_ft2	float	kwh_per_ft2	
metadata_and_annual	out.site_energy.total.energy_savings_intensity..kwh_per_ft2	float	kwh_per_ft2	
metadata_and_annual	upgrade.electric_vehicle_charger	string	n/a	Indicates the electric vehicle charger the model is upgraded to. Blank value indicates no upgrade.
metadata_and_annual	upgrade.electric_vehicle_efficiency_increase	string	n/a	Indicates the efficiency increase of the electric vehicle the model is upgraded to. Blank value indicates no upgrade.
metadata_and_annual	upgrade.electric_vehicle_ownership	string	n/a	Indicates the electric vehicle ownership of the building the model is upgraded to. Blank value indicates no upgrade.
metadata_and_annual	upgrade.heating_fuel	string	n/a	Indicates the heating fuel the model is upgraded to. Blank value indicates no upgrade.
metadata_and_annual	upgrade.hvac_cooling_efficiency	string	n/a	Indicates the efficiency of the HVAC cooling the model is upgraded to. Blank value indicates no upgrade.
metadata_and_annual	upgrade.hvac_cooling_partial_space_conditioning	string	n/a	Indicates the partial space conditioning of the HVAC cooling the model is upgraded to. Blank value indicates no upgrade.
metadata_and_annual	upgrade.hvac_heating_efficiency	string	n/a	Indicates the efficiency of the HVAC heating the model is upgraded to. Blank value indicates no upgrade.
metadata_and_annual	upgrade.hvac_heating_type_and_fuel	string	n/a	Indicates the heating type and fuel the model is upgraded to. Blank value indicates no upgrade.
metadata_and_annual	upgrade.infiltration_reduction	string	n/a	Indicates the infiltration reduction of the building the model is upgraded to. Blank value indicates no upgrade.
metadata_and_annual	upgrade.insulation_ceiling	string	n/a	Indicates the insulation ceiling of the building the model is upgraded to. Blank value indicates no upgrade.
metadata_and_annual	upgrade.water_heater_efficiency	string	n/a	Indicates the efficiency of the water heater the model is upgraded to. Blank value indicates no upgrade.
metadata_and_annual	upgrade.water_heater_fuel	string	n/a	Indicates which fuel is used for the water heater the model is upgraded to. Blank value indicates no upgrade.
metadata_and_annual	upgrade.hvac_detailed_performance_data	string	n/a	Indicates the HVAC detailed performance data the model is upgraded to. Blank value indicates no upgrade.
metadata_and_annual	upgrade.demand_flexibility_electric_vehicle	string	n/a	Indicates if demand flexibility is applied to electric vehicle in the model. Blank value indicates the upgrade didn't apply.
metadata_and_annual	upgrade.demand_flexibility_hvac	string	n/a	Indicates if demand flexibility is applied to HVAC in the model. Blank value indicates the upgrade didn't apply.
metadata_and_annual	upgrade.demand_flexibility_random_shift	string	n/a	Indicates the number of minutes of random shift applied for demand flexibility in the model. Blank value indicates the upgrade didn't apply.
metadata_and_annual	upgrade.duct_leakage_and_insulation	string	n/a	Indicates the duct leakge to outside and duct insulation the model is upgraded to. Blank value indicates the upgrade didn't apply.
metadata_and_annual	upgrade.infiltration	string	n/a	Indicates the infiltration rate the model is upgraded to. Blank value indicates the upgrade didn't apply.
metadata_and_annual	upgrade.insulation_wall	string	n/a	Indicates the wall type and insulation the model is upgraded to. Blank value indicates the upgrade didn't apply.
metadata_and_annual	upgrade.windows	string	n/a	Only appears when at least one building has this upgrade.
metadata_and_annual	calc.weighted.electricity.ceiling_fan.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.clothes_dryer.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.clothes_washer.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.cooling.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.cooling_fans_pumps.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.dishwasher.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.ev_charging.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.freezer.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.heating.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.heating_fans_pumps.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.heating_hp_bkup.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.heating_hp_bkup_fa.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.hot_water.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.hot_water_solar_th.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.lighting_exterior.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.lighting_garage.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.lighting_interior.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.mech_vent.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.net.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.permanent_spa_heat.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.permanent_spa_pump.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.plug_loads.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.pool_heater.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.pool_pump.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.pv.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.range_oven.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.refrigerator.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.television.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.total.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.well_pump.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.fuel_oil.heating.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.fuel_oil.hot_water.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.fuel_oil.total.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.natural_gas.clothes_dryer.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.natural_gas.fireplace.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.natural_gas.grill.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.natural_gas.heating.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.natural_gas.hot_water.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.natural_gas.lighting.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.natural_gas.permanent_spa_heat.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.natural_gas.pool_heater.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.natural_gas.range_oven.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.natural_gas.total.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.propane.clothes_dryer.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.propane.heating.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.propane.hot_water.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.propane.range_oven.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.propane.total.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.site_energy.net.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.site_energy.total.energy_consumption..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.emissions.total.aer_high_re_cost_avg..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.total.aer_high_re_cost_low_ng_price_avg..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.total.aer_low_re_cost_avg..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.total.aer_low_re_cost_high_ng_price_avg..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.total.aer_mid_case_avg..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.total.lrmer_high_re_cost_15..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.total.lrmer_high_re_cost_25..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.total.lrmer_high_re_cost_low_ng_price_15..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.total.lrmer_high_re_cost_low_ng_price_25..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.total.lrmer_low_re_cost_15..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.total.lrmer_low_re_cost_25..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.total.lrmer_low_re_cost_high_ng_price_15..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.total.lrmer_low_re_cost_high_ng_price_25..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.total.lrmer_mid_case_15..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.total.lrmer_mid_case_25..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.electricity.aer_high_re_cost_avg..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.electricity.aer_high_re_cost_low_ng_price_avg..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.electricity.aer_low_re_cost_avg..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.electricity.aer_low_re_cost_high_ng_price_avg..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.electricity.aer_mid_case_avg..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.electricity.lrmer_high_re_cost_15..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.electricity.lrmer_high_re_cost_25..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.electricity.lrmer_high_re_cost_low_ng_price_15..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.electricity.lrmer_high_re_cost_low_ng_price_25..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.electricity.lrmer_low_re_cost_15..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.electricity.lrmer_low_re_cost_25..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.electricity.lrmer_low_re_cost_high_ng_price_15..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.electricity.lrmer_low_re_cost_high_ng_price_25..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.electricity.lrmer_mid_case_15..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.electricity.lrmer_mid_case_25..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.fuel_oil.total..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.natural_gas.total..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions.propane.total..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.total.aer_high_re_cost_avg..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.total.aer_high_re_cost_low_ng_price_avg..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.total.aer_low_re_cost_avg..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.total.aer_low_re_cost_high_ng_price_avg..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.total.aer_mid_case_avg..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.total.lrmer_high_re_cost_15..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.total.lrmer_high_re_cost_25..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.total.lrmer_high_re_cost_low_ng_price_15..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.total.lrmer_high_re_cost_low_ng_price_25..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.total.lrmer_low_re_cost_15..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.total.lrmer_low_re_cost_25..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.total.lrmer_low_re_cost_high_ng_price_15..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.total.lrmer_low_re_cost_high_ng_price_25..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.total.lrmer_mid_case_15..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.total.lrmer_mid_case_25..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.fuel_oil.total..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.natural_gas.total..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.propane.total..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.electricity.ceiling_fan.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.clothes_dryer.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.clothes_washer.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.cooling.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.cooling_fans_pumps.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.dishwasher.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.ev_charging.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.freezer.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.heating.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.heating_fans_pumps.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.heating_hp_bkup.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.heating_hp_bkup_fa.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.hot_water.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.hot_water_solar_th.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.lighting_exterior.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.lighting_garage.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.lighting_interior.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.mech_vent.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.net.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.permanent_spa_heat.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.permanent_spa_pump.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.plug_loads.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.pool_heater.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.pool_pump.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.pv.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.range_oven.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.refrigerator.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.television.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.total.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.electricity.well_pump.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.fuel_oil.heating.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.fuel_oil.hot_water.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.fuel_oil.total.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.natural_gas.clothes_dryer.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.natural_gas.fireplace.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.natural_gas.grill.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.natural_gas.heating.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.natural_gas.hot_water.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.natural_gas.lighting.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.natural_gas.permanent_spa_heat.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.natural_gas.pool_heater.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.natural_gas.range_oven.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.natural_gas.total.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.propane.clothes_dryer.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.propane.heating.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.propane.hot_water.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.propane.range_oven.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.propane.total.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.site_energy.net.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.site_energy.total.energy_savings..tbtu	float	tbtu	
metadata_and_annual	calc.weighted.emissions_reduction.electricity.aer_high_re_cost_avg..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.electricity.aer_high_re_cost_low_ng_price_avg..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.electricity.aer_low_re_cost_avg..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.electricity.aer_low_re_cost_high_ng_price_avg..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.electricity.aer_mid_case_avg..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.electricity.lrmer_high_re_cost_15..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.electricity.lrmer_high_re_cost_25..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.electricity.lrmer_high_re_cost_low_ng_price_15..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.electricity.lrmer_high_re_cost_low_ng_price_25..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.electricity.lrmer_low_re_cost_15..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.electricity.lrmer_low_re_cost_25..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.electricity.lrmer_low_re_cost_high_ng_price_15..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.electricity.lrmer_low_re_cost_high_ng_price_25..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.electricity.lrmer_mid_case_15..co2e_mmt	float	co2e_mmt	
metadata_and_annual	calc.weighted.emissions_reduction.electricity.lrmer_mid_case_25..co2e_mmt	float	co2e_mmt	
timeseries_aggregates	out.electricity.ceiling_fan.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.electricity.clothes_dryer.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.electricity.clothes_washer.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.electricity.cooling_fans_pumps.energy_consumption..kwh	float	kWh	Supply fan (air distribution) or circulating pump (geothermal loop)
timeseries_aggregates	out.electricity.cooling.energy_consumption..kwh	float	kWh	Excludes fans/pumps
timeseries_aggregates	out.electricity.dishwasher.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.electricity.ev_charging.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.electricity.freezer.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.electricity.heating_fans_pumps.energy_consumption..kwh	float	kWh	Supply fan (air distribution) or circulating pump (hydronic distribution or geothermal loop)
timeseries_aggregates	out.electricity.heating_hp_bkup.energy_consumption..kwh	float	kWh	Excludes heat pump backup fans/pumps
timeseries_aggregates	out.electricity.heating_hp_bkup_fa.energy_consumption..kwh	float	kWh	Includes supply fan (air distribution) or circulating pump (hydronic distribution) during heat pump backup
timeseries_aggregates	out.electricity.heating.energy_consumption..kwh	float	kWh	Excludes heat pump backup and fans/pumps
timeseries_aggregates	out.electricity.permanent_spa_heat.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.electricity.permanent_spa_pump.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.electricity.hot_water.energy_consumption..kwh	float	kWh	Excludes recirc pump and solar thermal pump
timeseries_aggregates	out.electricity.hot_water_solar_th.energy_consumption..kwh	float	kWh	Non-zero only when using detailed (not simple) solar thermal inputs
timeseries_aggregates	out.electricity.lighting_exterior.energy_consumption..kwh	float	kWh	Includes exterior holiday lighting
timeseries_aggregates	out.electricity.lighting_garage.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.electricity.lighting_interior.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.electricity.mech_vent.energy_consumption..kwh	float	kWh	Excludes preheating/precooling
timeseries_aggregates	out.electricity.plug_loads.energy_consumption..kwh	float	kWh	Excludes independently reported plug loads (e.g., well pump)
timeseries_aggregates	out.electricity.pool_heater.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.electricity.pool_pump.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.electricity.pv.energy_consumption..kwh	float	kWh	Negative value for any power produced
timeseries_aggregates	out.electricity.range_oven.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.electricity.refrigerator.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.electricity.television.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.electricity.well_pump.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.fuel_oil.heating.energy_consumption..kwh	float	kWh	Excludes heat pump backup
timeseries_aggregates	out.fuel_oil.hot_water.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.natural_gas.clothes_dryer.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.natural_gas.fireplace.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.natural_gas.grill.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.natural_gas.heating_hp_bkup.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.natural_gas.heating.energy_consumption..kwh	float	kWh	Excludes heat pump backup
timeseries_aggregates	out.natural_gas.permanent_spa_heat.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.natural_gas.hot_water.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.natural_gas.lighting.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.natural_gas.pool_heater.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.natural_gas.range_oven.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.propane.clothes_dryer.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.propane.heating.energy_consumption..kwh	float	kWh	Excludes heat pump backup
timeseries_aggregates	out.propane.hot_water.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.propane.range_oven.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.site_energy.net.energy_consumption..kwh	float	kWh	Subtracts any power produced by PV or generators.
timeseries_aggregates	out.site_energy.total.energy_consumption..kwh	float	kWh	Includes any battery charging/discharging
timeseries_aggregates	out.electricity.net.energy_consumption..kwh	float	kWh	Subtracts any power produced by PV or generators.
timeseries_aggregates	out.electricity.total.energy_consumption..kwh	float	kWh	Includes any battery charging/discharging
timeseries_aggregates	out.fuel_oil.total.energy_consumption..kwh	float	kWh	Includes 'fuel oil', 'fuel oil 1', 'fuel oil 2', 'fuel oil 4', 'fuel oil 5/6', 'kerosene', and 'diesel'
timeseries_aggregates	out.natural_gas.total.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.propane.total.energy_consumption..kwh	float	kWh	
timeseries_aggregates	out.load.cooling.energy_delivered..kbtu	float	kBtu	Includes HVAC distribution losses.
timeseries_aggregates	out.load.heating.energy_delivered..kbtu	float	kBtu	Includes HVAC distribution losses.
timeseries_aggregates	out.load.hot_water.energy_delivered..kbtu	float	kBtu	Includes contributions by desuperheaters or solar thermal systems.
timeseries_aggregates	out.load.hot_water.energy_solar_thermal..kbtu	float	kBtu	Water heater solar thermal energy.
timeseries_aggregates	out.load.hot_water.energy_tank_losses..kbtu	float	kBtu	Water heater tank losses energy.
timeseries_aggregates	out.total.lrmer_midcase_25__electricity.co2e_kg	float	kg	Scenario total emissions for Electricity only, includes any battery charging/discharging
timeseries_aggregates	out.total.lrmer_midcase_25.co2e_kg	float	kg	Scenario total emissions, includes any battery charging/discharging
timeseries_aggregates	out.total.lrmer_midcase_15__electricity.co2e_kg	float	kg	Scenario total emissions for Electricity only, includes any battery charging/discharging
